Locatie,SoortCode,Bedekking,Aantalsklasse,Bedekking_num
1553,427,"la","4",9
1553,178,"r","2",1
1554,1099,"f","3",8
1554,178,"s","2",1
1555,427,"la","5",9
1557,427,"r","3",1
1559,427,"f","5",8
1562,427,"o","3",3
1564,212,"r","2",1
1564,427,"f","4",8
1565,212,"lf","4",3
1567,212,"o","3",3
1570,420,"f","5",8
1570,427,"o","3",3
1571,420,"lf","4",3
1572,420,"r","2",1
1572,688,"r","3",1
1572,427,"r","2",1
1573,420,"f","5",8
1573,688,"lf","4",3
1573,427,"o","4",3
1574,420,"f","5",8
1574,427,"r","3",1
1575,1099,"o","4",3
1575,427,"lf","5",3
1576,420,"f","5",8
1576,427,"o","3",3
1577,212,"o","3",3
1577,1099,"o","3",3
1577,427,"o","3",3
1578,427,"f","3",8
1579,427,"f","3",8
1581,420,"f","5",8
1581,427,"o","3",3
1582,420,"f","5",8
1583,420,"o","3",3
1583,427,"f","4",8
1584,420,"s","2",1
1584,688,"lf","4",3
1585,1099,"o","3",3
1585,427,"o","4",3
1586,420,"f","5",8
1587,420,"f","5",8
1588,890,"f","3",8
1588,688,"f","5",8
1588,427,"f","4",8
1589,212,"r","3",1
1590,1099,"o","3",3
1590,427,"o","3",3
1591,1099,"o","3",3
1591,427,"o","3",3
1592,248,"o","4",3
1592,1199,"o","3",3
1593,248,"o","3",3
1593,1199,"r","3",1
1596,237,"f","3",8
1596,688,"f","4",8
1596,427,"f","4",8
1596,1327,"f","4",8
1597,221,"s","2",1
1597,418,"r","3",1
1597,688,"d","5",60
1597,346,"o","4",3
1597,427,"r","3",1
1597,1324,"f","5",8
1597,3172,"r","3",1
1598,418,"o","3",3
1598,688,"d","5",60
1598,1324,"f","4",8
1599,418,"f","4",8
1599,688,"a","5",15
1599,346,"o","3",3
1600,260,"f","4",8
1600,418,"a","5",15
1600,688,"o","4",3
1600,326,"s","1",1
1601,237,"s","2",1
1601,418,"o","3",3
1601,688,"d","5",60
1601,346,"o","3",3
1601,1324,"f","4",8
1602,228,"o","4",3
1602,418,"f","4",8
1602,688,"o","4",3
1602,346,"r","3",1
1603,418,"f","4",8
1603,688,"o","3",3
1603,346,"o","3",3
1603,427,"o","3",3
1604,418,"o","3",3
1604,688,"d","5",60
1604,346,"o","3",3
1604,1324,"f","5",8
1605,418,"f","4",8
1605,688,"o","3",3
1608,418,"s","3",1
1608,688,"r","4",1
1608,427,"r","3",1
1611,688,"f","4",8
1611,346,"r","3",1
1611,427,"f","4",8
1612,688,"a","4",15
1612,346,"o","3",3
1612,427,"f","4",8
1612,1051,"a","2",15
1613,418,"o","4",3
1613,420,"s","2",1
